id,razao social,endereco,bairro,bandeira,latitude,longitude
66,Posto Ibiza Ltda,"Avenida Manoel Goncalves da Luz, 70",Bongi,BRANCA,8.0654188,34.9168855
67,Organização de Petroleo Shopping Ltda,"Estrada dos Remédios, 1235",Afogados,PETROBRAS DISTRIBUIDORA S.A.,8.0691957,34.9086371
68,Posto Sophia Ltda,"Avenida Caxanga, 5405",Varzea,IPIRANGA,8.033462199999999,34.9525834
69,Posto Sao Felix Espinheiro Ltda - Me,"Rua Santo Elias, 223",Espinheiro,IPIRANGA,8.0440379,34.8939789
70,Cadilac Petroleo Ltda.,"Avenida Fernando Simoes Barbosa, 406",Boa Viagem,PETROBRAS DISTRIBUIDORA S.A.,8.1211029,34.9015956
71,P. G. Comercio de Combustiveis Ltda - Me,"Rua Monte Castelo, 35",Boa Vista,IPIRANGA,8.0503275,34.8901969
72,Posto Casa Forte Ltda.,"Avenida 17 de Agosto, 598",Casa Forte,PETROBRAS DISTRIBUIDORA S.A.,8.0367696,34.9144537
73,C Albuquerque Comércio de Combustíveis Ltda.,"Avenida Engenheiro Abdias de Carvalho, 90",Prado,BRANCA,8.0622062,34.9138111
74,Petró Abdias Ltda,"Avenida Abdias de Carvalho, 267 C",Prado Conselheiro Paulino,DISLUB,8.0615724,34.9072657
75,Petrocal Petroleo Cavalcanti Limitada,"Avenida Professor Estevão Francisco da Costa, 257",Torre,BRANCA,8.0472162,34.9189923
76,Posto Internacional Ltda.,"Rua Benfica, 568",Madalena,PETROBRAS DISTRIBUIDORA S.A.,8.0577942,34.9038579
77,Posto Ilheus Ltda,"Rua General Joaquim Inacio, 425",Paissandu,IPIRANGA,8.063082699999999,34.8954549
78,Petro Jóquei Combustível Ltda.,"Rua Carlos Gomes, 758",Prado,DISLUB,8.0623278,34.91348800000001
79,Posto Lupp Ii Ltda.,"Avenida Abdias de Carvalho, 1122",Torroes,RAIZEN,8.064710300000002,34.9378221
80,Iguep Incorporadora Guedes Pereira Ltda,"Avenida Eng Abdias de Carvalho, 1701",Bongi,PETROBRAS DISTRIBUIDORA S.A.,8.06172,34.921399
81,Iguep Incorporadora Guedes Pereira Ltda,"Avenida Eng Abdias de Carvalho, 1142",Prado,PETROBRAS DISTRIBUIDORA S.A.,8.0623066,34.9114331
82,Posto Jockey Comercio Varejista de Combustiveis Ltda - Epp,"Avenida Engenheiro Abdias de Carvalho, 1830",Prado,PETROBRAS DISTRIBUIDORA S.A.,8.062026,34.9179041
